init_date,trade_date,clear_date,fund_account,account_owner_id,exchange_type,market,stock_code,money_type,entrust_side,trade_platform,gloss_amount,accrued_interest,entrust_bs,fare0,fare1,fare2,fare3,fare4,fare5,fare6,fare7,fare8,fare9,farex,farey,settle_amount,source_table
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,9,0,B,0.9,0.9,1,1,0.01,1,0,0,0,0,0.21,0,14.02,trade_success_detail
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,9,0,B,0.9,0.9,1,1,0.01,1,0,0,0,0,0.21,0,14.02,trade_success_detail
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,4,0,B,0.4,0.4,1,1,0,1,0,0,0,0,0.11,0,7.91,trade_success_detail
2023-06-02,20230602,20230605,130000043,410000083,SA,8,2222,SAR,1,12,10,0,B,1,1,1,1,0.01,1,0,0,0,0,0.23,0,15.24,trade_success_detail
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,18,0,B,1.8,1.8,1.8,2,0.02,1,0,0,0,0,0.41,0,26.83,trade_success_detail
2023-06-02,20230602,20230605,130000043,410000083,SA,8,2222,SAR,1,12,100,0,B,10,10,10,1,0.1,1,0,0,0,0,2.14,0,134.24,trade_success_detail
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,4,0,B,0.4,0.4,1,1,0,1,0,0,0,0,0.11,0,7.91,trade_success_detail
2023-06-02,20230601,20230602,138907902,410001384,SA,8,2222,SAR,1,12,10,0,B,0,0,0,1,0,0,0,0,0,0,0.01,0,11.01,trade_success_detail
2023-06-02,20230601,20230602,815282459,410032189,P,2,FEM,USD,3,5,100,0,B,15,0,0,0,0,0,0,0,0,0,0.3,0,115.3,trade_success_detail
2023-06-02,20230601,20230602,815282459,410032189,P,2,QQQ,USD,4,5,17,0,S,15,0.01,0.01,0,0,0,0,0,0,0,0.05,0,1.93,trade_success_detail
2023-06-02,20230601,20230602,813000032,410000082,P,2,BABA,USD,1,5,100,0,B,1,0,2,0,0,0,1,0,0,0,2,0,106,trade_success_detail
2023-06-02,20230601,20230602,813000032,410000082,P,2,BABA,USD,2,5,10,0,S,1,1,1,0,0,0,1,0,0,0,1,0,5,trade_success_detail
2023-06-02,20230601,20230602,813000032,410000082,P,2,BABA,USD,2,5,20,0,S,1,2,2,0,0,0,1,0,0,0,2,0,12,trade_success_detail
2023-06-02,20230601,20230602,813000032,410000082,P,2,BABA,USD,2,5,80,0,S,1,1,1,0,0,0,1,0,0,0,1,0,75,trade_success_detail
2023-06-02,20230601,20230602,813000035,410000083,P,2,TSLA,USD,4,5,80,0,S,0.03,0.01,0.01,0,0,0,4,0,0,0,0.02,0,75.93,trade_success_detail
2023-06-02,20230601,20230602,813000035,410000083,P,2,TSLA,USD,3,5,20,0,B,0.03,0,0,0,0,0,2,0,0,0,0.01,0,22.04,trade_success_detail
2023-06-02,20230601,20230602,138925116,410019484,P,2,BABA,USD,1,5,82.83,0,B,0.99,0,0,0,0,0,1,0,0,0,0.01,0,84.83,trade_success_detail
2023-06-02,20230601,20230602,138925116,410019484,P,2,PDD,USD,1,5,13840,0,B,0.99,0,0,0,0,0,1,0,0,0,0.6,0,13842.59,trade_success_detail
2023-06-02,20230601,20230602,138925116,410019484,P,2,JD,USD,1,5,6000,0,B,0.99,0,0,0,0,0,1,0,0,0,0.6,0,6002.59,trade_success_detail
2023-06-02,20230601,20230602,138925116,410019484,P,2,PDD,USD,1,5,12500,0,B,0.99,0,0,0,0,0,1,0,0,0,0.6,0,12502.59,trade_success_detail
2023-06-02,20230601,20230602,813000078,410000035,P,2,BABA,USD,1,5,827.7,0,B,1,0,8.28,0,0,0,4.14,0,0,0,8.28,0,849.4,trade_success_detail
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,4,0,B,0.4,0.4,1,1,0,1,0,0,0,0,0.11,0,7.91,trade_success_detail
2023-06-02,20230602,20230605,130000090,410000062,SA,8,2222,SAR,1,12,4,0,B,0.4,0.4,1,1,0,1,0,0,0,0,0.11,0,7.91,trade_success_detail
2023-06-02,20230602,20230605,138925115,410019484,SA,8,3050,SAR,1,12,310.8,0,B,20,6,10,1,0.31,1,0,0,0,0,2.77,0,351.88,trade_success_detail
2023-06-02,20230602,20230605,138925115,410019484,SA,8,4100,SAR,1,12,287.2,0,B,20,4,10,1,0.29,1,0,0,0,0,2.56,0,326.05,trade_success_detail
