index,db_type,db_conn,db_name,tb_name,hive_db_ods,hive_tb_ods,ext_condition,hive_db_dwd,hive_tb_dwd,patition_col_dwd,patition_col_src,weight,sync_type,status=1处理,,,,,,,,,,,,,,,,,,,,
1.0,mysql,orionbroker_ro,orionbroker,muster_trade_date_plan,sahm_ods,ods_ksa_orionbroker_muster_trade_date_plan_df,,sahm_dwd,dwd_sas_pub_muster_trade_date_plan_df,,,5,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
2.0,oracle,ksa_broker_ro,HSDC,ASSET_ACCOUNT,sahm_ods,ods_ksa_broker_asset_account_df,,sahm_dwd,dwd_sas_acc_asset_account_df,,,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
3.0,oracle,ksa_broker_ro,HSDC,CUSTOMER_INTEREST_LOG,sahm_ods,ods_ksa_broker_customer_interest_log_di,OCCUR_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_customer_interest_log_di,ds,"from_unixtime(unix_timestamp(occur_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,无,有,无,有,,,,,,,,,,,,,,,,
4.0,oracle,ksa_broker_ro,HSDC,MONEY_ACCOUNT_BALANCE_LOG,sahm_ods,ods_ksa_broker_money_account_balance_log_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_money_account_balance_log_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
5.0,oracle,ksa_broker_ro,HSDC,SECURITY_BASIC_INFO,sahm_ods,ods_ksa_broker_security_basic_info_df,,sahm_dwd,dwd_sas_var_security_basic_info_df,,,10,1,1,有,有,有,有,,,,,,,,,不通过,,,,,,,
6.0,oracle,ksa_broker_ro,HSDC,STOCK_HOLDING_LOG,sahm_ods,ods_ksa_broker_stock_holding_log_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_stock_holding_log_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,"上游系统表数据问题：
相同关联类型和地址类型会存在多条，且状态都为有效
正常场景信息变更后旧数据状态应置为失效状态
需确认"
7.0,oracle,ksa_broker_ro,HSDC,US_HOLDING_LOG,sahm_ods,ods_ksa_broker_us_holding_log_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_us_holding_log_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
8.0,oracle,ksa_js_ro,HSDC_JS,ASSET_MONEY_BALANCE_PAT,sahm_ods,ods_ksa_settle_asset_money_balance_pat_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_asset_money_balance_pat_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
9.0,oracle,ksa_js_ro,HSDC_JS,TRADE_VIEW_FOR_APP,sahm_ods,ods_ksa_settle_trade_view_for_app_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_trade_view_for_app_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
10.0,oracle,ksa_js_ro,HSDC_JS,US_SECURITY_HOLDING_PAT,sahm_ods,ods_ksa_settle_us_security_holding_pat_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_ast_us_security_holding_pat_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
11.0,oracle,ksa_js_ro,HSDC_JS,US_SECURITY_SUCCESS_ENTRUST,sahm_ods,ods_ksa_settle_us_security_success_entrust_di,BALANCE_LOG_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_us_security_success_entrust_di,ds,"from_unixtime(unix_timestamp(balance_log_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
12.0,oracle,ksa_broker_ro,HSDC,EXCHANGE_RATE,sahm_ods,ods_ksa_broker_exchange_rate_df,,sahm_dwd,dwd_sas_pub_exchange_rate_df,,,10,1,1,部分无,部分无,部分无,部分无,,,,,,,,,,,,,,,,
13.0,oracle,ksa_js_ro,HSDC_JS,SETTLE_EXCHANGE_RATE,sahm_ods,ods_ksa_settle_exchange_rate_df,,sahm_dwd,dwd_sas_pub_settle_exchange_rate_df,,,10,1,1,部分无,部分无,部分无,部分无,不通过,,,,,,,,,,,,,,,
14.0,oracle,ksa_oms_ro,HSDC_OMS,STOCK_TRADE_ORDER,sahm_ods,ods_ksa_oms_stock_trade_order_di,TRADE_DATE='{{ ds_nodash }}',sahm_dwd,dwd_sas_trd_stock_trade_order_di,ds,"from_unixtime(unix_timestamp(trade_date,'yyyyMMdd'),'yyyy-MM-dd')",10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
15.0,oracle,ksa_broker_ro,HSDC,US_OPTION_INFO,sahm_ods,ods_ksa_broker_us_option_info_df,,sahm_dwd,dwd_sas_var_us_option_info_df,,,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
16.0,oracle,ksa_js_ro,HSDC_JS,HKEX_TRADE_RECORD,sahm_ods,ods_ksa_settle_hkex_trade_record_di,,sahm_dwd,dwd_sas_trd_hkex_trade_record_file_di,ds,ds,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
17.0,oracle,ksa_js_ro,HSDC_JS,US_TRADE_FILE,sahm_ods,ods_ksa_settle_us_trade_file_di,"TO_CHAR(CREATE_TIME,'YYYY-MM-DD')='{{ ds }}'",sahm_dwd,dwd_sas_trd_us_trade_record_file_di,ds,"date_format(create_time,'yyyy-MM-dd')",10,1,1,无此表,无此表,无此表,无此表,,,,,,,,,,,,,,,,
18.0,oracle,ksa_broker_ro,HSDC,FEE_PLAN,sahm_ods,ods_ksa_broker_fee_plan_df,,sahm_dwd,dwd_sas_pub_fee_plan_df,,,10,1,1,有,有,有,有,,,,,,,,,,,,,,,,
